,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
0,ushuaia,AR,-54.8,-68.3,50.0,61,20,2.13,1603671119
1,puerto ayora,EC,-0.74,-90.35,68.0,86,53,5.99,1603671267
2,sur,OM,22.57,59.53,72.66,61,0,6.33,1603671267
3,albany,US,42.6,-73.97,43.0,54,1,3.53,1603671267
4,lorengau,PG,-2.02,147.27,86.11,65,100,5.7,1603671268
5,hearst,CA,49.68,-83.67,26.22,93,100,4.21,1603671035
6,mataura,NZ,-46.19,168.86,54.0,58,94,7.0,1603671268
7,cabo san lucas,MX,22.89,-109.91,87.01,58,40,11.41,1603671123
8,bilibino,RU,68.05,166.44,19.74,93,100,1.5,1603671269
9,butaritari,KI,3.07,172.79,81.34,70,50,8.72,1603671269
10,moron,AR,-34.65,-58.62,66.99,99,90,4.0,1603671269
11,busselton,AU,-33.65,115.33,72.0,48,0,8.63,1603671270
12,pevek,RU,69.7,170.31,25.47,98,100,6.96,1603671270
13,lata,PT,40.16,-8.33,55.0,87,73,5.01,1603671188
14,victoria,HK,22.29,114.16,75.0,78,100,3.0,1603671007
15,te anau,NZ,-45.42,167.72,51.87,65,100,3.83,1603671271
16,cape town,ZA,-33.93,18.42,62.01,77,0,11.41,1603671179
17,iringa,TZ,-7.77,35.7,57.42,90,52,4.38,1603671271
18,bluff,NZ,-46.6,168.33,54.0,58,78,7.0,1603671272
19,sept-iles,CA,50.2,-66.38,33.01,50,20,5.82,1603671213
20,hobart,AU,-42.88,147.33,59.0,46,75,14.99,1603671078
21,thompson,CA,55.74,-97.86,24.8,62,75,6.93,1603671272
22,esperance,AU,-33.87,121.9,62.6,55,0,20.8,1603671273
23,yellowknife,CA,62.46,-114.35,28.4,79,75,2.24,1603671030
24,kaa-khem,RU,51.68,94.73,24.15,77,87,3.87,1603671273
25,hithadhoo,MV,-0.6,73.08,83.59,67,61,5.93,1603671164
26,ozark,US,37.02,-93.21,45.0,86,71,8.08,1603671274
27,punta arenas,CL,-53.15,-70.92,44.6,81,75,2.24,1603671274
28,tawang,IN,27.58,91.87,46.49,72,46,3.58,1603671274
29,griffith,US,41.53,-87.42,48.0,61,90,8.05,1603671274
30,bredasdorp,ZA,-34.53,20.04,60.8,87,100,12.75,1603671275
31,tiksi,RU,71.69,128.87,5.22,90,100,31.27,1603671275
32,vestmannaeyjar,IS,63.44,-20.27,44.22,73,1,1.57,1603671275
33,havelock,US,34.88,-76.9,70.0,88,90,10.29,1603671275
34,kaitangata,NZ,-46.28,169.85,52.0,63,98,1.01,1603671070
35,vyazemskiy,RU,47.54,134.75,42.26,75,32,4.54,1603671276
36,umm lajj,SA,25.02,37.27,78.75,47,0,1.34,1603671276
37,ponta do sol,PT,32.67,-17.1,66.2,68,20,5.82,1603671054
38,ambon,ID,-3.7,128.18,84.2,74,20,3.36,1603671277
39,korla,CN,41.76,86.15,44.01,67,69,1.99,1603671277
40,kirakira,SB,-10.45,161.92,84.94,73,80,8.03,1603671278
41,east london,ZA,-33.02,27.91,66.18,70,97,1.45,1603671278
42,bambous virieux,MU,-20.34,57.76,73.99,78,75,14.99,1603671279
43,touros,BR,-5.2,-35.46,78.8,83,40,8.05,1603671279
44,jamestown,US,42.1,-79.24,45.0,70,90,9.17,1603671190
45,port alfred,ZA,-33.59,26.89,63.68,88,91,6.04,1603671279
46,mugur-aksy,RU,50.35,90.5,18.48,76,70,5.48,1603671280
47,iroquois falls,CA,48.77,-80.68,26.6,92,75,2.8,1603671280
48,batavia,US,41.85,-88.31,43.0,70,90,13.87,1603671182
49,qaanaaq,GL,77.48,-69.36,9.41,77,92,9.22,1603671075
50,mahebourg,MU,-20.41,57.7,73.4,78,75,14.99,1603671281
51,tahta,EG,26.77,31.5,68.0,55,0,3.36,1603671281
52,labrea,BR,-7.26,-64.8,73.06,98,100,2.37,1603671281
53,airai,TL,-8.93,125.41,71.37,76,97,1.92,1603671047
54,georgetown,MY,5.41,100.34,77.0,94,40,7.92,1603671242
55,lebu,CL,-37.62,-73.65,49.17,76,0,5.95,1603671282
56,pangnirtung,CA,66.15,-65.71,12.25,84,27,4.61,1603671283
57,kokoda,PG,-8.88,147.74,85.33,55,94,3.51,1603671283
58,dukat,RU,62.55,155.55,21.85,97,100,3.42,1603671283
59,vardo,NO,70.37,31.11,33.8,80,75,21.92,1603671283
60,sao jose da coroa grande,BR,-8.9,-35.15,77.23,81,58,11.9,1603671284
61,port hardy,CA,50.7,-127.42,44.6,60,90,6.93,1603671284
62,phan thiet,VN,10.93,108.1,77.25,87,85,3.18,1603671284
63,longyearbyen,SJ,78.22,15.64,28.4,79,75,3.36,1603671284
64,sao joao da barra,BR,-21.64,-41.05,71.74,86,99,9.15,1603671285
65,vila velha,BR,-20.33,-40.29,71.6,94,90,8.43,1603671285
66,tuatapere,NZ,-46.13,167.68,54.0,58,96,7.0,1603671285
67,new norfolk,AU,-42.78,147.06,59.0,46,2,1.99,1603671286
68,orizona,BR,-17.03,-48.3,69.73,87,100,5.37,1603671286
69,maceio,BR,-9.67,-35.74,77.0,88,0,6.93,1603671140
70,vaini,TO,-21.2,-175.2,73.4,88,90,12.75,1603671286
71,kangaatsiaq,GL,68.31,-53.46,20.71,86,79,7.92,1603671287
72,seoul,KR,37.57,126.98,48.2,100,1,1.16,1603671287
73,hit,IQ,33.64,42.83,66.43,24,24,5.35,1603671287
74,ngunguru,NZ,-35.62,174.5,64.98,71,11,8.61,1603671288
75,hermanus,ZA,-34.42,19.23,60.01,91,91,1.99,1603671288
76,nioro,GM,13.35,-15.75,79.32,76,7,5.99,1603671288
77,hilo,US,19.73,-155.09,87.8,55,40,11.41,1603671009
78,port blair,IN,11.67,92.75,78.84,83,41,5.12,1603671289
79,kapaa,US,22.08,-159.32,84.0,74,40,9.17,1603671289
80,alpharetta,US,34.08,-84.29,68.0,94,71,5.95,1603671263
81,lagoa,PT,39.05,-27.98,64.11,64,68,4.5,1603671290
82,viedma,AR,-40.81,-63.0,53.01,58,0,2.01,1603671290
83,atuona,PF,-9.8,-139.03,78.93,75,2,20.69,1603671028
84,sabha,LY,27.04,14.43,67.68,34,0,8.52,1603671291
85,west wendover,US,40.74,-114.07,35.6,29,75,18.34,1603671291
86,chuy,UY,-33.7,-53.46,66.09,91,100,10.2,1603671291
87,tuktoyaktuk,CA,69.45,-133.04,19.4,92,90,18.34,1603671292
88,loukhi,RU,66.08,33.04,25.07,98,99,4.9,1603671292
89,high level,CA,58.52,-117.14,30.2,42,75,2.84,1603671279
90,codajas,BR,-3.84,-62.06,77.58,90,85,0.74,1603671293
91,santa rosa,PH,14.31,121.11,78.8,88,90,9.17,1603671293
92,caravelas,BR,-17.71,-39.25,71.74,95,100,13.85,1603671293
93,port-cartier,CA,50.03,-66.87,33.01,50,20,5.82,1603671294
94,andenes,NO,69.31,16.12,37.4,86,75,21.92,1603671294
95,saint-philippe,RE,-21.36,55.77,73.4,68,0,5.82,1603671294
96,laguna,US,38.42,-121.42,70.0,14,1,20.8,1603671294
97,college,US,64.86,-147.8,34.0,74,90,4.7,1603671249
98,trofors,NO,65.53,13.41,48.2,70,91,12.75,1603671295
99,waipawa,NZ,-41.41,175.52,66.2,72,99,20.8,1603671224
100,kamaishi,JP,39.27,141.88,48.2,100,75,5.48,1603671296
101,la colmena,PY,-25.88,-56.82,85.12,42,31,2.84,1603671296
102,varhaug,NO,58.61,5.65,46.99,99,24,15.77,1603671296
103,holoby,UA,51.09,25.01,51.01,98,100,11.01,1603671297
104,chupa,RU,66.27,33.05,27.05,97,100,5.19,1603671297
105,ancud,CL,-41.87,-73.82,51.01,76,75,13.87,1603671297
106,ayan,RU,56.45,138.17,28.69,85,0,14.05,1603671297
107,avarua,CK,-21.21,-159.78,77.0,69,70,10.29,1603671298
108,abha,SA,18.22,42.51,60.8,21,0,1.39,1603671298
109,castro,BR,-24.79,-50.01,62.13,94,1,5.64,1603671128
110,vao,NC,-22.67,167.48,72.75,82,4,12.97,1603671298
111,khatanga,RU,71.97,102.5,6.1,95,95,9.57,1603671299
112,serenje,ZM,-13.23,30.24,64.26,51,64,4.68,1603671299
113,nipawin,CA,53.37,-104.0,26.6,49,90,14.99,1603671299
114,arraial do cabo,BR,-22.97,-42.03,72.5,84,81,8.95,1603671299
115,myitkyina,MM,25.38,97.4,68.67,94,27,1.61,1603671300
116,faanui,PF,-16.48,-151.75,80.87,69,31,7.81,1603671028
117,oktyabrskoye,RU,43.06,44.74,41.0,75,64,4.47,1603671300
118,taguing,PH,17.94,121.76,80.67,87,100,8.43,1603671301
119,rikitea,PF,-23.12,-134.97,74.5,82,100,22.55,1603671302
120,kununurra,AU,-15.77,128.73,87.8,58,91,9.17,1603671302
121,komsomolskiy,UZ,40.43,71.72,46.4,49,0,6.93,1603671303
122,sao filipe,CV,14.9,-24.5,82.53,64,96,15.9,1603671304
123,kodiak,US,57.79,-152.41,48.2,87,90,6.93,1603671305
124,ozinki,RU,51.18,49.68,40.41,75,48,18.19,1603671307
125,cherskiy,RU,68.75,161.3,16.23,96,100,0.89,1603671029
126,mendoza,AR,-32.89,-68.83,59.0,67,0,5.82,1603671063
127,vila do maio,CV,15.13,-23.22,80.6,69,0,16.11,1603671307
128,ribeira grande,PT,38.52,-28.7,65.34,74,68,5.59,1603671309
129,segou,ML,13.43,-6.22,79.25,17,0,3.38,1603671309
130,byron bay,AU,-28.65,153.62,73.0,88,90,4.7,1603671268
131,kavieng,PG,-2.57,150.8,82.85,76,100,9.19,1603671310
